"","CXQ_T_tpm","GY_T_tpm","HCM_T_tpm","LGL_T_tpm","MYP_T_tpm","SMJ_T_tpm","XB_T_tpm","CXQ_N_tpm","GY_N_tpm","HCM_N_tpm","LGL_N_tpm","MYP_N_tpm","SMJ_N_tpm","XB_N_tpm"
"5_8S_rRNA",9.08669140961259,7.65737606142017,26.7440312318814,20.2930422852852,12.2931826672227,7.11943885029961,39.2741259795957,26.6829758816837,12.7160512945288,48.9222800225796,53.3679325837578,17.3260243556073,8.74073027762059,30.1316002576317
"A1BG-AS1",0.826062855419327,0.957172007677521,0.764115178053755,0,1.53664783340284,0.889929856287452,0,2.32025877232033,2.31200932627797,1.19322634201414,1.18595405741684,1.82379203743235,2.18518256940515,1.50658001288158
"A1CF",7.43456569877394,4.7858600383876,6.8770366024838,6.17614330421723,2.30497175010425,0,3.57037508905416,11.6012938616016,10.4040419682509,14.3187161041696,9.48763245933471,9.11896018716174,13.1110954164309,9.0394800772895
"A2M",78.475971264836,172.290961381954,189.500564157331,82.0544753274575,126.005122339032,63.1850197964091,183.874317086289,178.659925468665,302.873221742414,144.38038738371,275.141341320707,163.229387350195,124.555406456093,245.572542099698
"A4GALT",0.826062855419327,2.87151602303256,1.52823035610751,2.64691855895024,3.07329566680567,1.7798597125749,5.35556263358123,1.16012938616016,1.15600466313899,2.38645268402827,1.18595405741684,2.73568805614852,0,1.50658001288158
"AAAS",32.2164513613537,32.5438482610357,23.6875705196664,28.2337979621359,20.7447457509383,25.8079658323361,43.7370948409134,24.3627171093634,24.2760979259187,20.2848478142403,27.2769433205873,23.7092964866205,20.7592344093489,27.1184402318685
"AACS",24.7818856625798,18.1862681458729,6.11292142443004,22.9399608442354,7.68323916701418,11.5690881317369,14.2815003562166,15.0816820200821,10.4040419682509,10.7390370781272,16.6033568038357,12.7665442620264,17.4814605552412,15.0658001288158
"AADACP1",0.826062855419327,0,1.52823035610751,0.882306186316748,0,0.889929856287452,0.892593772263539,1.16012938616016,1.15600466313899,2.38645268402827,2.37190811483368,0,1.09259128470257,1.50658001288158
"AADAT",4.95637713251596,7.65737606142017,4.58469106832253,5.29383711790049,5.37826741690992,3.55971942514981,2.67778131679062,2.32025877232033,2.31200932627797,2.38645268402827,2.37190811483368,3.64758407486469,2.18518256940515,3.01316002576317
"AAGAB",30.5643256505151,44.9870843608435,19.1028794513439,42.3506969432039,26.1230131678482,37.377053964073,21.4222505343249,30.1633640401642,30.0561212416136,29.8306585503534,33.2067136076715,25.5330885240529,27.3147821175644,28.6250202447501
"AAK1",5.78243998793529,3.82868803071008,3.82057589026878,7.05844949053398,4.60994350020851,3.55971942514981,4.46296886131769,4.64051754464065,6.93602797883392,9.54581073611309,5.9297702870842,4.55948009358087,6.55554770821545,3.01316002576317
"AAMDC",33.8685770721924,36.3725362917458,32.8569526563115,26.4691855895024,27.659661001251,26.6978956886236,25.8852193956426,60.3267280803285,39.3041585467255,42.9561483125089,42.6943460670062,26.444984542769,39.3332862492927,43.6908203735659
