"Group.1" "Group.2" "CXQ_T_tpm" "GY_T_tpm" "HCM_T_tpm" "LGL_T_tpm" "MYP_T_tpm" "SMJ_T_tpm" "XB_T_tpm" "CXQ_N_tpm" "GY_N_tpm" "HCM_N_tpm" "LGL_N_tpm" "MYP_N_tpm" "SMJ_N_tpm" "XB_N_tpm"
"1" "5_8S_rRNA" "5_8S_rRNA" 10.8333333333333 7.96333333333333 34.5166666666667 23.0933333333333 16.0466666666667 8.03 44.0766666666667 23.1766666666667 11.28 41.29 44.89 19.09 7.92333333333333 19.63
"2" "5S_rRNA" "5S_rRNA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "7SK" "7SK" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "A1BG" "A1BG" 0 0.31 0.28 1.14 1.82 0.1 1.15 0.93 0.4 1.07 0.16 1.91 0.28 0.38
"5" "A1BG-AS1" "A1BG-AS1" 1.11 1.4 1.26 0.34 2.45 1.01 0.48 1.6 1.97 1.14 1.12 1.6 1.72 1.15
"6" "A1CF" "A1CF" 8.8 5.14 8.86 7.45 2.86 0.24 3.64 9.52 9.36 11.77 7.61 9.78 11.52 6.24
"7" "A2M" "A2M" 94.85 179.69 248.35 92.6 163.72 71.39 206.09 154.21 261.99 120.85 232.02 179.11 113.52 162.79
"8" "A2M-AS1" "A2M-AS1" 0.08 0.21 0.79 0 0.6 0.55 0.45 0.3 1.22 0.97 0.5 0.84 0.34 0.41
"9" "A2ML1" "A2ML1" 0 0.95 0.01 0 0 0.31 0 0.15 0.05 0 0.27 0 0 0.01
"10" "A2ML1-AS1" "A2ML1-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "A2ML1-AS2" "A2ML1-AS2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" "A2MP1" "A2MP1" 0 0 0 0 0.115 0 0.08 0 0.03 0.15 0 0 0.06 0.07
"13" "A3GALT2" "A3GALT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" "A4GALT" "A4GALT" 0.67 3.3 2.01 2.68 3.84 2.01 6.45 1.35 1.17 1.71 1.32 2.57 0.37 1.46
"15" "A4GNT" "A4GNT" 0 0.04 0.17 0 0 0 0.03 0 0 0 0 0 0.04 0
"16" "AA06" "AA06" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" "AAAS" "AAAS" 39.04 34.08 30.83 32.08 27.03 28.57 48.77 20.94 20.99 17.27 23.23 26.25 19.08 17.52
"18" "AACS" "AACS" 29.68 18.75 8.23 25.84 10.5 12.63 16.48 12.56 8.63 8.95 13.51 14.4 15.63 9.5
"19" "AACSP1" "AACSP1" 0 0.08 0.01 0 0 0 0 0.01 0 0 0 0 0 0
"20" "AADAC" "AADAC" 0 1.39 0.68 0.39 0.05 0.51 0.08 0.04 0 0 0.13 0 0.04 0
"21" "AADACL2" "AADACL2" 0 0 0 0 0 0 0 0.02 0.08 0.02 0 0.02 0 0
"22" "AADACL2-AS1" "AADACL2-AS1" 0 0 0 0 0 0 0.14 0 0 0 0 0 0 0
"23" "AADACL3" "AADACL3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" "AADACL4" "AADACL4" 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0
"25" "AADACP1" "AADACP1" 0.73 0.175 1.63 1.36 0.125 0.625 1.37 1.11 0.755 1.855 1.555 0.375 1.405 0.84
"26" "AADAT" "AADAT" 6.05 7.91 5.97 5.51 6.93 4.08 3.2 2.21 1.54 1.81 2.28 3.81 2.33 1.6
"27" "AAGAB" "AAGAB" 36.63 47.13 24.77 47.59 34.27 41.99 24.28 26.27 25.77 24.8 27.5 28.11 24.7 18.79
"28" "AAK1" "AAK1" 6.96 3.96 4.7 7.96 5.73 3.9 5.03 3.72 5.52 8.34 5.12 5.1 5.54 1.96
"29" "AAMDC" "AAMDC" 41.16 38.43 42.72 30.46 36.18 29.88 29.14 52.09 33.94 35.66 35.77 28.76 35.64 29.18
"30" "AAMP" "AAMP" 132.84 101.6 103.78 103.03 80.82 93.38 108.51 101.46 62.7 79.94 82.97 77.32 72.11 66.23
"31" "AANAT" "AANAT" 0.04 0 0 0 0 0.04 0 0 0 0 0 0.08 0 0
"32" "AAR2" "AAR2" 29.26 15.86 32.26 17.97 29.57 20.72 18.75 14.27 11.21 10.67 11.63 14.29 12.13 10.54
"33" "AARD" "AARD" 0 0.03 0.16 0.03 0.18 0.09 0.08 0.13 0.11 0.24 0.14 0.65 0.03 0.07
"34" "AARS1" "AARS1" 62.54 50.92 59.24 74.62 36.92 59.96 57.33 21.23 23.29 15.92 25.91 40.81 27.34 26.63
"35" "AARS1P1" "AARS1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" "AARS2" "AARS2" 6.31 3.96 4.42 3.79 4.35 2.35 5.99 3.08 2.7 2.21 2.98 3.92 3.24 2.18
"37" "AARSD1" "AARSD1" 20.48 23.94 36.34 35.68 38.82 29.69 21.82 21.61 18.88 20.77 21.62 22.67 19.78 27.66
"38" "AARSD1P1" "AARSD1P1" 0 0 1.24 0.13 0 0.26 0.06 0 0.12 0.18 0.22 0.12 0.19 0
"39" "AASDH" "AASDH" 4.2 3.91 5 5.57 3.69 5.27 3.06 3.38 4.07 2.98 3.12 4.37 3.94 1.87
"40" "AASDHPPT" "AASDHPPT" 20.04 12.36 17.45 14.45 19 18.45 13.75 7.58 8.27 6.61 6.22 10.95 7.23 3.96
"41" "AASS" "AASS" 1.08 2.78 4 0.51 4.47 1.46 1.85 1.5 3.18 2.02 1.79 3.33 1.1 0.84
